City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Arona,0,IT,1551548063,28,45.76,8.56,60.01,4.7
Hithadhoo,0,MV,1551547787,100,-0.6,73.08,82.96,15.26
Tabas,0,IR,1551548081,52,33.6,56.92,36.79,2.39
Ushuaia,75,AR,1551546000,76,-54.81,-68.31,55.4,5.82
Kapaa,90,US,1551547854,63,22.08,-159.32,66.2,5.82
Bluff,0,AU,1551548082,74,-23.58,149.07,67.35,8.88
San Jeronimo,75,PE,1551546000,81,-13.65,-73.37,53.6,5.82
Hermanus,12,ZA,1551547905,89,-34.42,19.24,68.0,3.0
Punta Arenas,90,CL,1551547994,93,-53.16,-70.91,51.8,5.82
Albany,90,US,1551547800,50,42.65,-73.75,37.99,4.7
Victoria,75,BN,1551546000,88,5.28,115.24,78.8,4.7
Sorland,0,NO,1551548087,100,67.67,12.69,32.56,15.26
Salalah,40,OM,1551545400,54,17.01,54.1,80.6,9.17
Aligudarz,0,IR,1551548087,75,33.4,49.69,17.62,3.18
Tuktoyaktuk,20,CA,1551546000,63,69.44,-133.03,-7.61,12.75
Arawa,40,NG,1551546000,34,7.05,3.9,95.0,11.41
Salinopolis,88,BR,1551548148,100,-0.61,-47.36,78.46,9.89
Ponta do Sol,92,BR,1551548148,96,-20.63,-46.0,67.62,9.78
Georgetown,75,GY,1551546000,70,6.8,-58.16,84.2,13.87
Roald,90,NO,1551548105,86,62.58,6.12,41.0,12.75
Emerald,75,AU,1551547743,64,-23.53,148.16,75.2,12.75
Cockburn Town,88,TC,1551548015,94,21.46,-71.14,78.82,16.49
Mahebourg,75,MU,1551548046,78,-20.41,57.7,82.4,11.41
Yellowknife,5,CA,1551548119,62,62.45,-114.38,-10.0,4.7
Saint-Pierre,90,FR,1551548109,81,48.95,4.24,51.8,13.87
Bethel,90,US,1551546060,100,60.79,-161.76,30.2,8.05
Ust-Omchug,12,RU,1551548156,0,61.13,149.63,-28.28,2.51
Ancud,40,CL,1551546000,55,-41.87,-73.83,60.8,4.7
Saint George,75,GR,1551545400,58,39.45,22.34,57.2,6.93
Santa Rosa,0,AR,1551548159,43,-36.62,-64.29,79.27,4.74
Te Anau,0,NZ,1551548159,84,-45.41,167.72,31.84,2.39
Ouahigouya,0,BF,1551548058,15,13.58,-2.42,81.93,5.75
Peterhead,0,AU,1551548140,73,-34.83,138.5,77.0,3.62
Mahalapye,12,BW,1551548160,60,-23.11,26.83,82.42,3.29
Piastow,0,PL,1551548145,68,52.18,20.84,34.0,3.36
Chara,75,GR,1551545400,58,39.42,22.43,57.2,6.93
Arlit,0,NE,1551548160,26,18.74,7.39,70.99,6.2
Geraldton,90,CA,1551546000,66,49.72,-86.95,12.2,12.75
Tabou,0,CI,1551548161,98,4.42,-7.36,83.77,9.33
Pacific Grove,90,US,1551547879,100,36.62,-121.92,60.01,9.17
Qaanaaq,0,GL,1551548161,68,77.48,-69.36,-2.0,11.79
Abalak,0,NE,1551548161,17,15.46,6.28,76.57,9.22
Bredasdorp,44,ZA,1551547875,78,-34.53,20.04,71.6,6.93
Hasaki,75,JP,1551548076,60,35.73,140.83,42.8,5.82
Frontera,5,MX,1551545100,65,18.53,-92.64,82.4,4.7
Nikolskoye,90,RU,1551548134,92,59.7,30.79,30.99,22.37
San Ramon de la Nueva Oran,12,AR,1551548166,76,-23.13,-64.33,88.5,4.63
Saskylakh,24,RU,1551548166,32,71.97,114.09,-22.21,2.95
Lebu,8,ET,1551548166,36,8.96,38.73,60.91,5.19
Severo-Kurilsk,56,RU,1551548167,100,50.68,156.12,21.94,12.57
Nemuro,0,JP,1551548167,97,43.32,145.57,29.41,12.12
Kodiak,75,US,1551548014,41,39.95,-94.76,24.01,9.17
Haines Junction,88,CA,1551548167,75,60.75,-137.51,7.18,1.72
Dikson,24,RU,1551548168,74,73.51,80.55,-6.91,8.1
Camopi,80,GF,1551548168,58,3.17,-52.33,87.15,3.85
Jamestown,0,AU,1551548169,35,-33.21,138.6,70.68,7.31
Castro,40,CL,1551546000,55,-42.48,-73.76,60.8,4.7
Chapais,1,CA,1551546000,78,49.78,-74.86,14.0,1.61
Butaritari,56,KI,1551548170,100,3.07,172.79,82.24,13.24
Ongole,0,IN,1551548170,89,15.51,80.05,74.82,5.86
Aripuana,36,BR,1551548230,52,-9.17,-60.63,91.15,2.95
Carnarvon,0,ZA,1551548196,30,-30.97,22.13,74.68,7.54
Iqaluit,20,CA,1551547969,69,63.75,-68.52,-7.01,20.8
Port Alfred,92,ZA,1551548194,77,-33.59,26.89,72.0,3.0
Hilo,1,US,1551548174,63,19.71,-155.08,62.01,6.93
Cherskiy,68,RU,1551548232,74,68.75,161.3,-7.04,8.43
Airai,8,TL,1551548234,89,-8.93,125.41,68.74,0.16
Huarmey,12,PE,1551548235,48,-10.07,-78.15,82.83,4.74
Saint-Philippe,75,CA,1551548142,57,45.36,-73.48,28.4,10.29
Leningradskiy,0,RU,1551548236,69,69.38,178.42,11.68,14.14
Clyde River,75,CA,1551546000,77,70.47,-68.59,5.0,25.28
Byron Bay,90,AU,1551548174,93,-28.65,153.62,71.6,10.45
Barrow,0,AR,1551548237,47,-38.31,-60.23,74.05,11.79
Banfora,0,BF,1551548237,19,10.64,-4.75,87.28,6.08
Luena,75,AO,1551542400,83,-11.78,19.91,69.8,10.29
Souillac,20,FR,1551548168,71,45.6,-0.6,57.0,16.11
Torbay,20,CA,1551548013,46,47.66,-52.73,30.99,40.26
Yining,92,CN,1551548238,97,29.04,114.56,43.63,2.62
Flinders,48,AU,1551548233,88,-34.58,150.85,70.0,6.93
Manaus,40,BR,1551546000,66,-3.13,-59.98,89.6,6.93
Pudozh,88,RU,1551548238,86,61.81,36.54,20.82,15.03
Ust-Kuyga,48,RU,1551548239,36,70.0,135.55,-24.86,2.95
Sitka,44,US,1551547820,84,37.17,-99.65,26.01,5.01
Iracoubo,76,GF,1551548239,62,5.48,-53.21,82.83,6.76
Narasannapeta,80,IN,1551548239,91,18.42,84.04,72.03,1.72
Mount Gambier,48,AU,1551542400,93,-37.83,140.78,62.6,12.75
Businga,12,CD,1551548240,85,3.34,20.89,76.93,3.29
Khromtau,64,KZ,1551548240,85,50.26,58.44,28.06,12.68
Skagen,88,SE,1551548045,74,58.6,13.44,37.4,13.87
Pytalovo,88,RU,1551548240,87,57.06,27.92,30.22,19.84
Varhaug,90,NO,1551548179,100,58.61,5.65,43.0,14.99
Fare,64,PF,1551548241,100,-16.7,-151.02,82.96,6.42
Oxbow,1,CA,1551547859,68,49.23,-102.17,-15.0,17.22
Amapa,40,HN,1551548147,58,15.09,-87.97,86.0,6.93
Carballo,75,ES,1551548193,67,43.21,-8.69,59.0,14.99
East London,40,ZA,1551546000,68,-33.02,27.91,71.6,6.93
Gold Coast,75,AU,1551548174,94,-28.0,153.41,70.0,8.05
Fairbanks,1,US,1551548154,83,64.84,-147.72,12.0,2.73
Puerto Ayora,40,EC,1551546000,70,-0.74,-90.35,84.2,8.05
Lavrentiya,12,RU,1551548246,100,65.58,-170.99,5.2,3.62
Berberati,36,CF,1551548306,78,4.26,15.79,77.43,2.62
Antsohihy,36,MG,1551548306,85,-14.88,47.99,79.54,6.98
Abrego,64,CO,1551548307,61,8.08,-73.22,75.58,1.28
LOS ALGARROBOS,40,EC,1551546000,66,-3.25,-79.94,89.6,5.82
Tuatapere,0,NZ,1551548307,100,-46.13,167.69,46.38,3.62
Sirsi,0,IN,1551548307,79,14.62,74.84,67.21,3.74
Benghazi,80,LY,1551548308,100,32.12,20.07,61.0,26.44
Mareeba,40,AU,1551548000,83,-16.99,145.42,75.2,9.17
Sao Filipe,0,CV,1551548308,79,14.9,-24.5,75.45,17.83
Chuy,0,UY,1551548117,64,-33.69,-53.46,80.08,18.72
Bogorodskoye,48,RU,1551548308,62,52.37,140.44,3.45,2.62
Lagoa,20,PT,1551548227,72,37.14,-8.45,66.99,8.05
Manzhouli,32,CN,1551548309,58,49.6,117.43,13.66,2.95
Constitucion,5,MX,1551547816,20,23.99,-104.67,73.0,4.7
New Norfolk,0,AU,1551548295,82,-42.78,147.06,64.0,4.7
Cidreira,0,BR,1551548310,48,-30.17,-50.22,87.73,11.9
Mana,75,RS,1551546000,61,43.52,20.24,46.4,2.24
Teguldet,44,RU,1551548311,81,57.31,88.17,17.58,2.62
Petrokamenskoye,92,RU,1551548313,89,57.72,60.65,27.3,8.43
Erzin,75,TR,1551545400,82,36.95,36.2,57.2,9.17
Tiksi,0,RU,1551548314,32,71.64,128.87,-22.48,3.06
Garden City,90,US,1551548313,74,40.73,-73.63,39.0,4.52
Upernavik,12,GL,1551548315,100,72.79,-56.15,2.41,4.74
Phetchaburi,0,TH,1551548315,99,13.1,99.94,83.14,22.86
Bandarbeyla,92,SO,1551548315,100,9.49,50.81,77.29,6.98
Vidim,90,CZ,1551548224,75,50.47,14.53,43.0,5.82
Saldanha,0,PT,1551548316,51,41.42,-6.55,56.55,3.96
Xuddur,0,SO,1551548316,29,4.12,43.89,83.82,9.22
Jijila,20,RO,1551546000,50,45.31,28.15,34.0,4.7
Esperance,40,TT,1551548108,55,10.24,-61.45,86.0,18.34
Bambous Virieux,75,MU,1551548046,78,-20.34,57.76,82.4,11.41
Port Lincoln,80,AU,1551548317,91,-34.72,135.86,68.25,13.35
Namibe,20,AO,1551548317,100,-15.19,12.15,78.01,7.99
Mar del Plata,44,AR,1551548307,39,-46.43,-67.52,70.68,14.58
Pangoa,20,PE,1551548317,79,-12.12,-73.0,76.35,2.73
Bundaberg,40,AU,1551548108,82,-24.87,152.35,70.0,8.05
Markovo,20,BG,1551546000,80,43.2,27.23,35.6,1.12
Guerrero Negro,12,MX,1551548318,67,27.97,-114.04,66.76,9.22
Vilkija,0,LT,1551545400,54,55.04,23.58,30.2,6.93
Luderitz,8,NA,1551548318,71,-26.65,15.16,66.13,21.3
Tazovskiy,80,RU,1551548319,83,67.47,78.7,16.99,15.7
Patacamaya,36,BO,1551548319,100,-17.23,-67.92,56.77,5.53
Vardo,90,US,1551548318,65,39.62,-77.74,41.0,6.31
Avera,40,US,1551548300,68,33.19,-82.53,71.01,4.07
Coquimbo,75,CL,1551546000,68,-29.95,-71.34,66.2,10.29
Holme,92,GB,1551548365,71,53.7,-2.31,54.0,11.41
Pucallpa,75,PE,1551546000,331,-8.38,-74.54,35.6,3.36
Udachnyy,64,RU,1551548383,64,66.42,112.4,-1.01,3.18
Aklavik,5,CA,1551546000,69,68.22,-135.01,-4.01,13.87
Salvador,20,BR,1551546000,66,-12.98,-38.48,89.6,11.41
Newport,90,GB,1551548168,81,51.59,-3.0,54.0,19.46
Bowling Green,90,US,1551548147,75,36.99,-86.44,42.8,4.63
Dingle,8,PH,1551548384,77,11.0,122.67,75.58,10.67
Niltepec,0,MX,1551548384,52,16.57,-94.62,89.08,8.99
Yulara,0,AU,1551546000,21,-25.24,130.99,82.4,6.93
Mahon,20,IE,1551548149,66,51.89,-8.4,50.0,20.8
San Juan,20,PH,1551548284,73,14.6,121.03,78.01,6.93
Mountain Home,1,US,1551548255,99,43.13,-115.69,34.0,4.7
Tarauaca,20,BR,1551548386,66,-8.16,-70.77,88.45,3.74
Tiznit,0,MA,1551548387,77,29.7,-9.73,63.03,5.64
Songea,40,TZ,1551546000,88,-10.68,35.65,73.4,1.16
Srednekolymsk,56,RU,1551548387,66,67.46,153.71,-9.16,4.18
Kutum,0,SD,1551548387,29,14.2,24.66,69.64,6.42
Alekseyevka,75,RU,1551546000,79,53.25,50.49,21.2,20.13
Ribeira Grande,75,PT,1551546000,88,38.52,-28.7,62.6,32.21
Leshukonskoye,36,RU,1551548388,78,64.9,45.76,6.37,5.3
Arman,20,RU,1551548388,49,59.7,150.17,-10.01,4.63
Paita,0,PE,1551546000,290,-5.09,-81.11,62.6,10.29
Kuznechnoye,48,RU,1551548258,86,61.12,29.87,32.0,16.71
Ola,20,RU,1551548390,100,59.58,151.3,-0.61,8.21
Port Elizabeth,90,US,1551548379,93,39.31,-74.98,39.99,5.82
Saint-Georges,64,CA,1551547867,58,46.12,-70.67,33.01,5.01
Tehri,92,IN,1551548393,100,30.38,78.48,36.48,1.61
Kaitangata,0,NZ,1551548393,77,-46.28,169.85,42.01,5.19
Awbari,0,LY,1551548393,43,26.59,12.77,59.7,6.31
Mackay,5,CA,1551546000,68,53.65,-115.58,-18.41,6.93
Iquitos,75,PE,1551546000,319,-3.75,-73.25,42.8,5.82
Najran,5,SA,1551546000,29,17.54,44.22,75.2,9.17
Talnakh,76,RU,1551548394,81,69.49,88.39,15.82,15.82
Tabuk,20,PH,1551548394,91,17.41,121.44,57.04,1.72
Tasiilaq,75,GL,1551545400,85,65.61,-37.64,15.8,5.82
Coihaique,90,CL,1551546000,58,-45.58,-72.07,57.2,4.7
Pisco,0,PE,1551546000,30,-13.71,-76.2,71.6,9.17
Longyearbyen,20,NO,1551547200,77,78.22,15.63,-2.21,3.36
Zermatt,40,CH,1551548078,66,46.02,7.75,57.2,6.93
Grindavik,40,IS,1551546000,100,63.84,-22.43,39.2,6.93
Grand Gaube,75,MU,1551548346,78,-20.01,57.66,82.4,11.41
Aalen,75,DE,1551548281,87,48.84,10.09,51.01,3.36
Celestun,0,MX,1551548456,87,20.87,-90.4,81.79,9.66
Poum,0,MK,1551548456,89,41.28,20.71,27.61,1.61
Sao Miguel do Araguaia,44,BR,1551548417,96,-13.28,-50.16,82.92,3.4
Quatre Cocos,75,MU,1551548346,78,-20.21,57.76,82.4,11.41
Korcula,40,HR,1551546000,96,42.96,17.14,59.0,12.75
Ozernovskiy,0,RU,1551548457,92,51.5,156.52,9.7,8.99
Waingapu,48,ID,1551548457,100,-9.65,120.26,72.79,2.62
Attock,92,PK,1551548237,94,33.77,72.36,50.0,1.01
Belmonte,0,PT,1551543364,60,40.36,-7.35,62.01,5.01
Prince Rupert,90,CA,1551546000,43,54.32,-130.32,35.6,4.7
Adrar,0,DZ,1551546000,15,27.87,-0.29,77.0,5.82
Labuhan,88,ID,1551548462,94,-2.54,115.51,72.52,0.6
Hauterive,40,FR,1551548411,47,46.09,3.45,55.4,9.17
Nouadhibou,0,MR,1551546000,53,20.93,-17.03,71.6,16.11
Ouadda,0,CF,1551548462,58,8.07,22.4,77.11,4.41
Comodoro Rivadavia,0,AR,1551546000,31,-45.87,-67.48,73.4,17.22
Manzanillo,0,CU,1551548463,96,20.34,-77.12,81.07,0.38
Hofn,88,IS,1551548313,100,64.25,-15.21,37.92,12.57
Newberry,90,US,1551546960,62,46.35,-85.51,24.8,10.67
Faanui,8,PF,1551548306,100,-16.48,-151.75,82.96,7.43
Emba,75,CY,1551547924,77,34.81,32.42,59.0,13.87
Havre,1,US,1551547896,82,48.55,-109.68,-12.0,5.82
Caconda,48,AO,1551548464,93,-13.73,15.06,64.2,1.95
Hambantota,48,LK,1551548389,100,6.12,81.12,81.16,10.11
Zamosc,75,PL,1551547800,63,50.72,23.25,28.4,1.12
Riyadh,0,SA,1551546000,25,24.63,46.72,60.8,6.93
Cabo San Lucas,5,MX,1551548117,50,22.89,-109.91,86.0,3.36
Lorengau,0,PG,1551548465,100,-2.02,147.27,82.38,5.64
Hakodate,0,JP,1551548465,98,41.8,140.75,29.14,6.31
Crotone,0,IT,1551545400,66,39.09,17.12,55.4,14.99
Noumea,90,NC,1551547800,78,-22.28,166.46,75.2,9.17
Muros,40,ES,1551548313,81,42.77,-9.06,57.99,10.29
Alofi,92,NU,1551546000,88,-19.06,-169.92,78.8,4.7
Sterling,90,US,1551548464,80,39.0,-77.4,44.01,5.82
Tezu,20,IN,1551548467,62,27.93,96.16,48.04,2.17
Nanchong,44,CN,1551548358,83,30.8,106.08,41.92,2.84
Sanguem,0,IN,1551548469,75,15.23,74.14,68.38,1.72
Pitimbu,75,BR,1551546000,70,-7.47,-34.81,84.2,12.75
Bobon,88,PH,1551548471,100,12.53,124.56,77.65,10.11
Codrington,90,AU,1551548174,93,-28.95,153.24,71.6,2.95
Acapulco,5,MX,1551545640,74,16.86,-99.88,84.2,5.82
Aurangabad,0,IN,1551548279,44,19.87,75.33,71.89,7.43
Fortuna,0,ES,1551548321,67,38.18,-1.13,66.99,5.82
Touba,0,SN,1551548472,9,14.86,-15.88,90.34,10.45
Urengoy,80,RU,1551548473,88,65.96,78.37,19.42,19.51
Ambilobe,0,MG,1551548473,68,-13.19,49.05,81.25,11.01
Kungurtug,20,RU,1551548533,51,50.6,97.53,-0.38,2.73
Yarim,0,YE,1551548533,66,14.3,44.38,56.37,3.18
Nioro,0,GM,1551548353,16,13.79,-15.05,90.57,7.09
Kargasok,8,RU,1551548534,86,59.06,80.87,17.67,5.19
Elko,90,US,1551548404,80,40.83,-115.76,33.01,8.05
Ust-Nera,12,RU,1551548324,0,64.57,143.24,-43.18,0.94
Bombay,90,US,1551548405,46,44.94,-74.57,33.8,5.82
Lompoc,90,US,1551548519,93,34.64,-120.46,59.0,13.87
Ballina,75,IE,1551548524,75,54.11,-9.15,48.99,18.34
Ayaviri,36,PE,1551548535,74,-14.88,-70.59,54.25,3.29
Zonguldak,75,TR,1551545400,87,41.25,31.83,43.0,10.29
Necochea,32,AR,1551548378,56,-38.55,-58.74,70.0,7.0
Zlatibor,75,RS,1551546000,91,43.73,19.7,35.6,5.82
Auki,56,NG,1551548536,22,12.18,6.51,82.2,6.53
Port Macquarie,90,AU,1551548045,93,-31.43,152.91,66.2,4.52
Davila,0,PH,1551548536,94,18.47,120.58,76.57,2.51
Norden,90,DE,1551548525,71,53.59,7.21,51.01,9.17
Russell,0,AR,1551546000,21,-33.01,-68.8,80.6,5.82
Flin Flon,75,CA,1551546000,57,54.77,-101.88,-13.01,9.17
Oriximina,32,BR,1551548540,70,-1.77,-55.87,86.2,4.18
Watsa,24,CD,1551548541,80,3.04,29.53,71.85,4.29
Olga,90,US,1551548526,93,34.11,-118.17,57.99,5.82
Macheng,76,CN,1551548408,98,31.18,115.03,40.35,3.29
Valparaiso,40,US,1551548440,80,41.47,-87.06,32.0,12.75
Laguna,90,MX,1551544800,25,27.52,-110.01,77.0,4.7
Presidente Olegario,92,BR,1551547903,100,-18.42,-46.42,73.0,9.55
Turinskaya Sloboda,32,RU,1551548542,80,57.62,64.39,19.02,6.87
Henties Bay,0,NA,1551546126,84,-22.12,14.28,68.0,4.0
Kimbe,64,PG,1551548542,100,-5.56,150.15,80.58,2.51
Tebingtinggi,80,ID,1551548542,96,3.33,99.16,80.62,4.63
Guangyuan,12,CN,1551548543,80,32.43,105.86,30.13,1.95
Morlaix,90,FR,1551548524,81,48.58,-3.83,54.0,18.34
Yar-Sale,20,RU,1551548543,57,66.83,70.83,-6.14,3.96
Eureka,90,US,1551548423,93,40.8,-124.16,51.01,3.96
Tautira,20,PF,1551547990,74,-17.73,-149.15,82.4,3.51
Seguela,0,CI,1551548544,20,7.96,-6.67,94.12,6.2
Paamiut,0,GL,1551548544,91,61.99,-49.67,31.35,4.97
Korem,20,ET,1551548544,83,12.51,39.52,58.75,2.39
Talakan,0,RU,1551548544,67,50.29,130.28,7.05,2.51
Pyapon,0,MM,1551548545,77,16.29,95.68,74.5,10.67
Oranjemund,36,ZA,1551548545,87,-28.55,16.43,64.2,15.82
Umm Lajj,0,SA,1551548545,100,25.02,37.27,62.22,10.56
Halifax,90,CA,1551548464,100,44.65,-63.58,34.0,4.7
Biloela,0,AU,1551548606,78,-24.4,150.51,63.16,8.77
Inirida,80,CO,1551548608,84,3.87,-67.92,79.63,2.95
Xichang,0,CN,1551548609,41,27.88,102.25,28.51,1.72
Nara,92,JP,1551548028,46,34.68,135.8,50.0,5.82
Amos,90,CA,1551546000,79,48.57,-78.12,19.4,5.82
Kamenka,0,RU,1551548610,72,53.19,44.05,11.82,10.78
Massakory,0,TD,1551548610,36,13.0,15.73,88.0,4.63
Sapa,20,PH,1551548284,73,14.32,120.76,78.01,6.93
Vila Franca do Campo,40,PT,1551546000,88,37.72,-25.43,62.6,25.28
Goryachegorsk,80,RU,1551548611,93,55.41,88.92,23.7,2.39
Alekseyevskoye,76,RU,1551548611,75,45.2,43.58,34.36,9.55
De Aar,0,ZA,1551548611,34,-30.65,24.01,74.82,7.43
Lumbac,88,PH,1551548611,98,7.73,124.25,68.52,0.72
Ahipara,0,NZ,1551548458,100,-35.17,173.16,53.01,3.74
Berlin,75,DE,1551548418,60,52.52,13.39,43.0,6.93
Manta,68,RO,1551548612,90,45.1,24.1,37.83,4.63
Dolores,0,AR,1551548409,75,-36.31,-57.68,71.67,13.24
Inhambane,12,MZ,1551548612,91,-23.87,35.38,80.4,8.77
Shirokiy,0,RU,1551548335,52,53.87,39.17,15.01,7.87
Sorong,56,ID,1551548613,100,-0.86,131.25,79.63,4.74
Port Augusta,0,AU,1551548214,68,-32.49,137.76,75.0,4.18
Half Moon Bay,90,US,1551548563,96,37.46,-122.43,55.99,4.7
Lufilufi,100,WS,1551548613,100,-13.87,-171.6,83.73,9.33
Lieksa,80,FI,1551548613,78,63.32,30.02,24.91,10.33
Blagoyevo,12,RU,1551548614,69,63.37,47.92,1.24,3.85
Soderhamn,92,SE,1551547328,59,61.3,17.06,37.0,4.0
Caarapo,0,BR,1551548474,49,-22.63,-54.82,92.73,5.97
Zhaotong,76,CN,1551548614,100,27.34,103.71,31.48,2.28
Walvis Bay,0,NA,1551546126,68,-22.95,14.51,69.8,6.93
Jacareacanga,56,BR,1551548615,83,-6.22,-57.76,81.34,2.84
Isangel,80,VU,1551548371,100,-19.55,169.27,79.27,8.99
Ewa Beach,1,US,1551548439,87,21.32,-158.01,64.4,4.7
Nelson Bay,88,AU,1551548432,93,-32.72,152.14,70.0,12.01
Pangnirtung,20,CA,1551546000,83,66.15,-65.72,-14.81,2.62
Stokmarknes,0,NO,1551547881,65,68.56,14.91,19.0,6.76
Bonthe,8,SL,1551548616,47,7.53,-12.5,90.03,6.76
Deputatskiy,48,RU,1551548418,39,69.3,139.9,-27.2,2.73
Kenda,40,DZ,1551546000,57,35.66,5.57,55.4,8.05
Wilmington,90,US,1551548453,100,39.75,-75.55,39.0,4.63
Solnechnyy,0,RU,1551548622,59,50.72,136.64,1.33,2.39
Atar,0,MR,1551548622,8,20.52,-13.05,82.33,8.99
Richards Bay,92,ZA,1551548382,99,-28.77,32.06,73.92,8.21
Christchurch,0,NZ,1551548479,87,-43.53,172.64,57.0,2.24
Zhigansk,0,RU,1551548603,69,66.77,123.37,-15.73,2.62
Kirakira,0,SB,1551548623,100,-10.46,161.92,81.57,6.76
Ilulissat,75,GL,1551545400,79,69.22,-51.1,19.4,11.41
Pauini,68,BR,1551548623,78,-7.71,-67.0,83.32,4.74
Balabac,0,PH,1551548683,100,7.99,117.06,80.22,9.33
Sao Felix do Xingu,48,BR,1551548683,71,-6.64,-51.99,84.63,2.28
Banjar,88,ID,1551548684,98,-7.37,108.54,71.85,1.95
Tarazona,8,ES,1551546000,34,41.91,-1.72,66.2,10.29
Leon,1,US,1551547895,78,40.74,-93.75,17.6,11.41
Houlton,1,US,1551548596,39,46.13,-67.84,32.0,8.05
Khorramshahr,0,IR,1551546000,58,30.43,48.18,60.8,4.7
Noshiro,0,JP,1551548688,99,40.21,140.05,39.22,5.41
Port Hardy,75,CA,1551546000,86,50.7,-127.42,33.8,2.24
Acajutla,8,SV,1551548400,52,13.59,-89.83,88.36,4.97
San Quintin,80,PH,1551548689,89,17.54,120.52,66.76,2.62
Chabahar,0,IR,1551548689,100,25.29,60.65,68.74,13.8
Bathsheba,20,BB,1551546000,62,13.22,-59.52,84.2,13.87
Doha,0,QA,1551546000,42,25.29,51.53,62.6,10.29
Makakilo City,1,US,1551548590,87,21.35,-158.09,64.4,4.7
Chifeng,20,CN,1551548407,67,42.27,118.96,29.37,5.75
Huron,90,US,1551546720,77,44.36,-98.21,6.8,14.99
Innisfail,5,CA,1551548416,74,52.02,-113.95,-12.0,5.82
Vanimo,12,PG,1551548690,97,-2.67,141.3,83.23,10.45
Gizo,20,IL,1551548585,82,31.8,34.94,59.0,5.82
Rochegda,76,RU,1551548690,80,62.67,43.41,17.89,5.3
Waipawa,0,NZ,1551548117,93,-39.94,176.59,41.0,5.64
Verkhoyansk,48,RU,1551548524,0,67.55,133.39,-32.56,2.62
Timbiras,68,BR,1551548691,86,-4.26,-43.94,80.4,1.61
Beringovskiy,0,RU,1551548691,82,63.05,179.32,14.65,8.21
Barcelos,20,PT,1551548464,76,41.53,-8.62,61.0,5.82
Tiquicheo,0,MX,1551548692,36,18.9,-100.74,84.13,3.18
Danilov,0,RU,1551546000,72,58.19,40.17,17.6,6.71
Port Keats,0,AU,1551548692,93,-14.25,129.55,78.55,5.53
Youghal,20,IE,1551548653,66,51.95,-7.85,50.0,20.8
Margate,0,AU,1551548475,82,-43.03,147.26,64.0,4.7
Kaniama,44,CD,1551548693,91,-7.57,24.18,71.85,2.28
Esso,8,RU,1551548693,30,55.93,158.7,-23.74,1.83
Licheng,92,CN,1551548693,100,24.5,110.4,52.18,4.07
Chumikan,64,RU,1551548693,74,54.72,135.31,9.97,2.51
Brownsville,90,US,1551548498,65,25.91,-97.49,80.6,16.11
Crestview,75,US,1551548415,88,30.76,-86.57,75.99,6.93
Berlevag,76,NO,1551548694,100,70.86,29.09,22.8,12.01
Leh,80,IN,1551548613,74,34.16,77.58,0.3,0.04
Mount Darwin,0,ZW,1551548694,50,-16.77,31.58,75.27,6.64
Khangah Dogran,92,PK,1551548695,96,31.83,73.62,56.05,11.23
Shimanovsk,56,RU,1551548698,68,52.0,127.67,11.23,2.17
Dalvik,36,SE,1551548405,80,57.79,14.13,35.6,13.87
Benguela,64,AO,1551548698,98,-12.58,13.4,81.48,5.97
